بیماری,توصیه ۱,توصیه ۲,توصیه ۳,توصیه ۴
Drug Reaction,توقف تحریک,مشاوره با نزدیکترین بیمارستان,قطع مصرف دارو,پیگیری
Malaria,مشاوره با نزدیکترین بیمارستان,اجتناب از مواد چرب,اجتناب از مواد غذایی گوشتی,از بیرون نگه‌داشتن پشه‌ها
Allergy,استفاده از کالامین,پوشش دادن منطقه با باند,استفاده از یخ برای فشردن خارش,NaN
Hypothyroidism,کاهش استرس,ورزش,مصرف غذای سالم,خواب کافی
Psoriasis,شستشوی دست‌ها با آب گرم و صابون,فشار دادن برای متوقف کردن خونریزی,مشاوره با پزشک,حمام‌های نمکی
GERD,اجتناب از مواد چرب و تند,اجتناب از خوابیدن پس از غذا خوردن,حفظ وزن سالم,ورزش
Chronic cholestasis,حمام‌های سرد,داروی ضد خارش,مشاوره با پزشک,مصرف غذای سالم
hepatitis A,مشاوره با نزدیکترین بیمارستان,شستشوی دست‌ها,اجتناب از مواد چرب و تند,دارو
Osteoarthristis,آسپرین,مشاوره با نزدیکترین بیمارستان,پیگیری,حمام‌های نمکی
(vertigo) Paroymsal Positional Vertigo,خوابیدن,اجتناب از تغییرات ناگهانی در بدن,اجتناب از حرکات ناگهانی سر,آرامش
Hypoglycemia,خوابیدن به طرف کنار,بررسی ضربان قلب,مصرف نوشیدنی‌های شیرین,مشاوره با پزشک
Acne,دوش گرفتن دو بار,اجتناب از مواد چرب و تند,مصرف زیاد آب,اجتناب از استفاده زیاد از محصولات
Diabetes,مصرف رژیم غذایی متعادل,ورزش,مشاوره با پزشک,پیگیری
Impetigo,آغشتن ناحیه مبتلا به آب گرم,استفاده از آنتی‌بیوتیک,برداشتن پوسته‌ها با دستمال فشرده مرطوب,مشاوره با پزشک
Hypertension,مراقبت,حمام‌های نمکی,کاهش استرس,خواب کافی
Peptic ulcer diseae,اجتناب از مواد چرب و تند,مصرف مواد غذایی پروبیوتیک,حذف شیر,محدودیت مصرف الکل
Dimorphic hemmorhoids(piles),اجتناب از مواد چرب و تند,مصرف گیاه دارویی ویچ هازل,حمام گرم با نمک اپسوم,مصرف آب آلوئه ورا
Common Cold,مصرف نوشیدنی‌های غنی از ویتامین C,استفاده از بخور,اجتناب از مواد غذایی سرد,کنترل تب
Chicken pox,استفاده از نیم در حمام,مصرف برگ‌های نیم,تزریق واکسن,اجتناب از مکان‌های عمومی
Cervical spondylosis,استفاده از پتو گرم یا پک سرد,ورزش,مصرف داروی ضد درد بدون نیاز به نسخه,مشاوره با پزشک
Hyperthyroidism,مصرف غذای سالم,ماساژ,استفاده از بالم لیمو,تزریق ماده رادیواکتیو آیودین
Urinary tract infection,مصرف نوشیدنی‌های زیادی از آب,افزایش مصرف ویتامین C,مصرف آب توت فرنگی,مصرف پروبیوتیک
Varicose veins,خوابیدن صاف و بلند کردن پا,استفاده از مواد مرطوب‌کننده,استفاده از فشار ورید,اجتناب از ایستادن به مدت طولانی
AIDS,اجتناب از بریدگی‌های باز,استفاده از تجهیزات حفاظت فردی اگر امکان پذیر است,مشاوره با پزشک,پیگیری
Paralysis (brain hemorrhage),ماساژ,مصرف غذای سالم,ورزش,مشاوره با پزشک
Typhoid,مصرف سبزیجات با کالری بالا,درمان آنتی‌بیوتیک,مشاوره با پزشک,دارو
Hepatitis B,مشاوره با نزدیکترین بیمارستان,واکسیناسیون,مصرف غذای سالم,دارو
Fungal infection,دوش دو بار,استفاده از دتول یا نیم در آب حمام,نگه داشتن ناحیه آلوده خشک,استفاده از لباس‌های تمیز
Hepatitis C,مشاوره با نزدیکترین بیمارستان,واکسیناسیون,مصرف غذای سالم,دارو
Migraine,مدیتیشن,کاهش استرس,استفاده از عینک‌های پولاروید در آفتاب,مشاوره با پزشک
Bronchial Asthma,تغییر به لباس‌های گشاده,تنفس عمیق,دور شدن از عوامل محرک,جستجوی کمک
Alcoholic hepatitis,قطع مصرف الکل,مشاوره با پزشک,دارو,پیگیری
Jaundice,مصرف زیاد آب,مصرف گیاه علف شیرین,مصرف میوه‌ها و مواد غذایی با فیبر بالا,دارو
Hepatitis E,قطع مصرف الکل,استراحت,مشاوره با پزشک,دارو
Dengue,مصرف آب نواره پاپایا,اجتناب از مواد چرب و تند,نگه داشتن پشه‌ها,نگه داشتن آب‌آور
Hepatitis D,مشاوره با پزشک,دارو,مصرف غذای سالم,پیگیری
Heart attack,تماس با امبولانس,جویدن یا بلعیدن آسپرین,آرامش حفظ کردن,NaN
Pneumonia,مشاوره با پزشک,دارو,استراحت,پیگیری
Arthritis,ورزش,استفاده از درمان‌های گرم و سرد,تلاش برای آکوپانکتور,ماساژ
Gastroenteritis,قطع مصرف غذای جامد برای مدتی,سعی در نوشیدن حجم کمی از آب,استراحت,به آرامی وارد شدن به مصرف غذا
Tuberculosis,پوشش دادن دهان,مشاوره با پزشک,دارو,استراحت
