Symptom,translated
itching,خارش
skin_rash,جوش پوستی
nodal_skin_eruptions,فوران‌های پوستی ندولار
continuous_sneezing,عطسه مداوم
shivering,لرز
chills,سرماخوردگی
joint_pain,درد مفاصل
stomach_pain,درد معده
acidity,اسیدیته
ulcers_on_tongue,زخم‌های روی زبان
muscle_wasting,از دست دادن عضلات
vomiting,استفراغ
burning_micturition,سوزش در ادرار
spotting_urination,لکه‌بینی در ادرار
fatigue,خستگی
weight_gain,افزایش وزن
anxiety,اضطراب
cold_hands_and_feets,دست‌ها و پاهای سرد
mood_swings,تغییرات خلقی
weight_loss,کاهش وزن
restlessness,بی‌قراری
lethargy,بی‌حالی
patches_in_throat,لکه‌های در گلو
irregular_sugar_level,قند خون نامنظم
cough,سرفه
high_fever,تب بالا
sunken_eyes,چشمان فرو رفته
breathlessness,نفس‌تنگی
sweating,تعریق
dehydration,کم‌آبی
indigestion,سوء هاضمه
headache,سردرد
yellowish_skin,پوست زرد
dark_urine,ادرار تیره
nausea,تهوع
loss_of_appetite,از دست دادن اشتها
pain_behind_the_eyes,درد پشت چشم‌ها
back_pain,درد کمر
constipation,یبوست
abdominal_pain,درد شکم
diarrhoea,اسهال
mild_fever,تب خفیف
yellow_urine,ادرار زرد
yellowing_of_eyes,زردی چشم‌ها
acute_liver_failure,نارسایی حاد کبد
fluid_overload,افزایش مایعات
swelling_of_stomach,تورم معده
swelled_lymph_nodes,تورم غدد لنفاوی
malaise,ناخوشی
blurred_and_distorted_vision,دید مبهم و تحریف شده
phlegm,خلط
throat_irritation,تحریک گلو
redness_of_eyes,قرمزی چشم‌ها
sinus_pressure,فشار سینوس
runny_nose,آب‌ریزش بینی
congestion,گرفتگی
chest_pain,درد قفسه سینه
weakness_in_limbs,ضعف در اندام‌ها
fast_heart_rate,ضربان قلب سریع
pain_during_bowel_movements,درد هنگام حرکات روده
pain_in_anal_region,درد در ناحیه مقعد
bloody_stool,مدفوع خونی
irritation_in_anus,تحریک در مقعد
neck_pain,درد گردن
dizziness,سرگیجه
cramps,گرفتگی
bruising,کبودی
obesity,چاقی
swollen_legs,تورم پاها
swollen_blood_vessels,تورم رگ‌های خونی
puffy_face_and_eyes,تورم صورت و چشم‌ها
enlarged_thyroid,بزرگی تیروئید
brittle_nails,ناخن‌های شکننده
swollen_extremeties,تورم اندام‌ها
excessive_hunger,گرسنگی مفرط
extra_marital_contacts,ارتباطات خارج از ازدواج
drying_and_tingling_lips,خشکی و گزگز لب‌ها
slurred_speech,گفتار بریده بریده
knee_pain,درد زانو
hip_joint_pain,درد مفصل ران
muscle_weakness,ضعف عضلانی
stiff_neck,گردن سفت
swelling_joints,تورم مفاصل
movement_stiffness,سفتی حرکت
spinning_movements,حرکات چرخشی
loss_of_balance,از دست دادن تعادل
unsteadiness,ناتوانی در ایستادن
weakness_of_one_body_side,ضعف در یک سمت بدن
loss_of_smell,از دست دادن بویایی
bladder_discomfort,ناراحتی مثانه
foul_smell_ofurine,بوی بد ادرار
continuous_feel_of_urine,احساس مداوم ادرار
passage_of_gases,عبور گازها
internal_itching,خارش داخلی
toxic_look_(typhos),ظاهر سمی (تیفوس)
depression,افسردگی
irritability,تحریک‌پذیری
muscle_pain,درد عضلانی
altered_sensorium,تغییر در حواس
red_spots_over_body,نقاط قرمز روی بدن
belly_pain,درد شکم
abnormal_menstruation,قاعدگی نامنظم
dischromic_patches,لکه‌های تغییر رنگ داده
watering_from_eyes,آبریزش از چشم‌ها
increased_appetite,افزایش اشتها
polyuria,پر ادراری
family_history,سابقه خانوادگی
mucoid_sputum,خلط موکوئید
rusty_sputum,خلط زنگ زده
lack_of_concentration,عدم تمرکز
visual_disturbances,اختلالات بینایی
receiving_blood_transfusion,دریافت انتقال خون
receiving_unsterile_injections,دریافت تزریقات غیربهداشتی
coma,کما
stomach_bleeding,خونریزی معده
distention_of_abdomen,تورم شکم
history_of_alcohol_consumption,سابقه مصرف الکل
fluid_overload,افزایش مایعات
blood_in_sputum,خون در خلط
prominent_veins_on_calf,رگ‌های برجسته در ساق پا
palpitations,تپش قلب
painful_walking,درد در حین راه رفتن
pus_filled_pimples,جوش‌های پر از چرک
blackheads,جوش‌های سرسیاه
scurring,زخم
skin_peeling,پوست‌ریزی
silver_like_dusting,گرد نقره‌ای مانند
small_dents_in_nails,فرو رفتگی‌های کوچک در ناخن‌ها
inflammatory_nails,ناخن‌های ملتهب
blister,تاول
red_sore_around_nose,زخم قرمز دور بینی
yellow_crust_ooze,ترشح زرد پوسته‌ای
prognosis,پیش‌آگهی
